Category,Name,Calories (Kcal),Protein (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Total Carbohydrate (g),Total Sugars (g),Sodium (mg)
breakfast,egg-mcmuffin,290.0,19.0,11.0,5.3,0.2,28.0,1.9,696.4
breakfast,sausage-mcmuffin,316.0,16.0,16.0,7.2,0.2,27.0,1.6,710.0
breakfast,sausage-mcmuffin-with-egg,389.0,24.0,20.0,8.8,0.2,28.0,1.6,781.3
breakfast,mega-mcmuffin,509.0,32.0,30.0,13.0,0.2,28.0,1.6,1002.8
breakfast,chicken-muffin-with-egg,419.0,21.0,20.0,5.3,0.0,39.0,2.1,821.1
breakfast,chicken-muffin,346.0,14.0,16.0,3.8,0.0,38.0,2.1,749.8
breakfast,muffin-with-vegetables,292.0,19.0,11.0,5.3,0.2,28.0,2.2,698.5
breakfast,egg-burger-with-chicken,414.0,21.0,19.0,5.8,0.1,40.0,5.1,758.5
breakfast,egg-burger,282.0,14.0,12.0,4.0,0.1,30.0,4.9,432.2
breakfast,egg-burger-with-sausage,404.0,22.0,22.0,7.7,0.1,31.0,5.1,655.7
breakfast,egg-burger-with-canadian-bacon,302.0,17.0,13.0,4.2,0.1,30.0,5.2,568.7
breakfast,hotcakes-with-sausage,439.0,16.0,18.0,5.4,0.1,53.0,11.0,932.8
breakfast,hotcakes-3-pieces,319.0,8.0,8.6,1.7,0.1,53.0,11.0,711.4
breakfast,big-breakfast,411.0,26.0,22.0,8.0,0.0,27.0,1.3,664.9
breakfast,grand-breakfast,664.0,34.0,31.0,8.2,0.1,63.0,12.0,1272.3
breakfast,bagel-burger-with-bacon,440.0,21.0,16.0,4.9,0.0,54.0,7.3,647.6
breakfast,bagel-burger-with-cheese,421.0,22.0,14.0,6.2,0.2,53.0,6.2,707.3
breakfast,plain-bagel,244.0,7.9,1.1,0.3,0.0,52.0,5.9,401.9
extra-value-meals,big-mac,548.0,26.0,28.0,12.0,0.7,49.0,7.1,672.1
extra-value-meals,double-cheese-burger,467.0,26.0,25.0,14.0,0.9,35.0,6.3,784.4
extra-value-meals,grilled-bbq-chicken-burger,363.0,24.0,12.0,3.7,0.0,40.0,11.0,690.9
extra-value-meals,mcchicken,360.0,14.0,16.0,3.5,0.0,42.0,4.6,743.7
extra-value-meals,chicken-mcnuggets-6-pieces,270.0,16.0,17.0,4.2,0.0,13.0,0.0,427.6
extra-value-meals,chicken-mcnuggets-10-pieces,449.0,26.0,29.0,6.9,0.0,22.0,0.0,712.6
extra-value-meals,spicy-chicken-filet-burger,493.0,22.0,24.0,5.5,0.0,47.0,4.3,871.4
extra-value-meals,chicken-mccrispy-wing-2-pieces,611.0,34.0,39.0,10.0,0.0,33.0,0.0,877.7
extra-value-meals,spicy-chicken-mccrispy-wing-2-pieces,612.0,36.0,41.0,10.0,0.0,24.0,0.0,1414.8
extra-value-meals,chicken-mccrispy-2-pieces,747.0,46.0,50.0,14.0,0.0,30.0,0.0,1157.1
extra-value-meals,spicy-chicken-mccrispy-2-pieces,765.0,44.0,51.0,13.0,0.0,33.0,0.0,1511.7
extra-value-meals,filet-o-fish,330.0,14.0,15.0,3.5,0.2,36.0,3.7,532.8
extra-value-meals,mushroom-angus-beef-burger,575.0,30.0,34.0,14.0,0.7,38.0,6.9,938.1
extra-value-meals,blt-angus-beef-burger,544.0,30.0,29.0,12.0,0.5,40.0,10.0,888.5
extra-value-meals,blt-spicy-chicken-burger,554.0,26.0,25.0,6.2,0.0,55.0,10.0,1111.3
extra-value-meals,blt-grilled-chicken-burger,455.0,27.0,20.0,5.6,0.0,42.0,11.0,918.5
extra-value-meals,caesar-salad-with-spicy-fried-chicken-filet,360.0,21.0,20.0,6.7,0.2,26.0,5.6,676.6
extra-value-meals,italian-salad-with-grilled-chicken-filet,261.0,23.0,14.0,6.0,0.2,12.0,6.3,483.8
signature-series,blt-angus-beef-burger,544.0,30.0,29.0,12.0,0.5,40.0,10.0,888.5
signature-series,blt-spicy-chicken-burger,554.0,26.0,25.0,6.2,0.0,55.0,10.0,1111.3
signature-series,blt-grilled-chicken-burger,455.0,27.0,20.0,5.6,0.0,42.0,11.0,918.5
signature-series,mushroom-angus-beef-burger,575.0,30.0,34.0,14.0,0.7,38.0,6.9,938.1
