Category,Name,Calories (Kcal),Protein (g),Total Fat (g),Saturated Fat (g),Trans Fat (g),Total Carbohydrate (g),Total Sugars (g),Sodium (mg)
breakfast,0,290,19,11,5.3,0.2,28,1.9,696.4
breakfast,1,316,16,16,7.2,0.2,27,1.6,710
breakfast,2,389,24,20,8.8,0.2,28,1.6,781.3
breakfast,3,509,32,30,13,0.2,28,1.6,1002.8
breakfast,4,419,21,20,5.3,0,39,2.1,821.1
breakfast,5,346,14,16,3.8,0,38,2.1,749.8
breakfast,6,292,19,11,5.3,0.2,28,2.2,698.5
breakfast,7,414,21,19,5.8,0.1,40,5.1,758.5
breakfast,8,282,14,12,4,0.1,30,4.9,432.2
breakfast,9,404,22,22,7.7,0.1,31,5.1,655.7
breakfast,10,302,17,13,4.2,0.1,30,5.2,568.7
breakfast,11,439,16,18,5.4,0.1,53,11,932.8
breakfast,12,319,8,8.6,1.7,0.1,53,11,711.4
breakfast,13,411,26,22,8,0,27,1.3,664.9
breakfast,14,664,34,31,8.2,0.1,63,12,1272.3
breakfast,15,440,21,16,4.9,0,54,7.3,647.6
breakfast,16,421,22,14,6.2,0.2,53,6.2,707.3
breakfast,17,244,7.9,1.1,0.3,0,52,5.9,401.9
extra-value-meals,18,548,26,28,12,0.7,49,7.1,672.1
extra-value-meals,19,467,26,25,14,0.9,35,6.3,784.4
extra-value-meals,20,363,24,12,3.7,0,40,11,690.9
extra-value-meals,21,360,14,16,3.5,0,42,4.6,743.7
extra-value-meals,22,270,16,17,4.2,0,13,0,427.6
extra-value-meals,23,449,26,29,6.9,0,22,0,712.6
extra-value-meals,24,493,22,24,5.5,0,47,4.3,871.4
extra-value-meals,25,611,34,39,10,0,33,0,877.7
extra-value-meals,26,612,36,41,10,0,24,0,1414.8
extra-value-meals,27,747,46,50,14,0,30,0,1157.1
extra-value-meals,28,765,44,51,13,0,33,0,1511.7
extra-value-meals,29,330,14,15,3.5,0.2,36,3.7,532.8
extra-value-meals,30,575,30,34,14,0.7,38,6.9,938.1
extra-value-meals,31,544,30,29,12,0.5,40,10,888.5
extra-value-meals,32,554,26,25,6.2,0,55,10,1111.3
extra-value-meals,33,455,27,20,5.6,0,42,11,918.5
extra-value-meals,34,360,21,20,6.7,0.2,26,5.6,676.6
extra-value-meals,35,261,23,14,6,0.2,12,6.3,483.8
signature-series,36,544,30,29,12,0.5,40,10,888.5
